Wall time,Step,Value
1709851400.621322,90,-95.80000305175781
1709851449.2079613,235,-168.1999969482422
1709851479.1729546,310,-145.39999389648438
1709851481.2057073,315,-128.60000610351562
1709851495.9895334,355,-91.19999694824219
1709851507.9950125,385,-150.0
1709851518.1991498,410,-118.80000305175781
1709851528.241105,445,-83.4000015258789
1709851551.068303,515,-75.80000305175781
1709851557.0134766,535,-80.80000305175781
1709851590.2324176,640,-108.5999984741211
1709851592.073858,650,-77.0
1709851630.8316724,785,-92.19999694824219
1709851636.449063,800,-95.0
1709851645.0042048,820,-112.5999984741211
1709851658.5575087,860,-70.19999694824219
1709851680.3321092,955,-78.5999984741211
1709851691.929851,1015,-67.19999694824219
1709851722.53908,1145,-68.5999984741211
1709851752.2179515,1220,-95.4000015258789
1709851753.5110354,1225,-84.19999694824219
1709851774.5094664,1295,-95.5999984741211
1709851801.1128747,1355,-119.5999984741211
1709851805.916155,1370,-112.0
1709851827.207228,1410,-120.5999984741211
1709851831.6046298,1425,-60.79999923706055
1709851850.6686862,1475,-83.80000305175781
1709851891.4364522,1580,-73.0
1709851897.7345352,1595,-56.79999923706055
1709851957.809811,1730,-84.0
1709851989.07578,1790,-80.80000305175781
1709852008.9715073,1830,-96.19999694824219
1709852045.8597517,1890,-151.0
1709852066.37218,1930,-79.80000305175781
1709852075.0352502,1950,-79.80000305175781
1709852100.8194778,2010,-109.19999694824219
1709852129.7890716,2075,-67.4000015258789
1709852174.6558259,2180,180.60000610351562
1709852177.2661319,2185,152.60000610351562
1709852182.6797395,2195,-68.19999694824219
1709852193.515094,2230,-65.5999984741211
1709852211.646177,2305,-51.0
1709852215.9914608,2325,396.79998779296875
1709852229.0663707,2375,636.7999877929688
1709852237.2343037,2400,633.2000122070312
1709852238.4834507,2405,170.39999389648438
1709852272.8538003,2550,863.0
1709852275.0546951,2560,408.6000061035156
1709852276.1118827,2565,411.6000061035156
1709852300.3999176,2665,1087.5999755859375
1709852306.4886153,2690,1111.5999755859375
1709852308.435178,2700,1113.199951171875
1709852320.8102126,2760,404.0
1709852325.1997933,2780,869.5999755859375
1709852335.1890664,2810,395.20001220703125
1709852367.37354,2950,390.0
1709852371.396221,2970,638.0
1709852373.4658163,2980,630.0
1709852407.9386337,3145,846.7999877929688
1709852416.316226,3185,647.2000122070312
1709852422.3031867,3215,1093.0
1709852423.9475796,3220,826.0
1709852435.7604086,3290,1107.199951171875
1709852443.8240778,3335,870.7999877929688
1709852450.1136339,3375,863.2000122070312
1709852493.5114715,3605,403.3999938964844
1709852496.5730674,3625,867.0
1709852528.333623,3720,612.0
1709852582.8488708,3820,-64.80000305175781
1709852603.90864,3875,-54.599998474121094
1709852617.2621784,3910,-45.400001525878906
1709852625.9405835,3940,190.60000610351562
1709852643.2550156,4020,1092.0
1709852655.7033882,4095,856.4000244140625
1709852667.9866545,4160,859.4000244140625
1709852688.0803196,4285,884.5999755859375
1709852696.1652675,4330,404.20001220703125
1709852716.569287,4430,1095.5999755859375
1709852730.355765,4505,1098.4000244140625
1709852754.5995193,4650,861.5999755859375
1709852765.9281135,4710,865.7999877929688
1709852772.456166,4745,1103.5999755859375
1709852818.585215,4995,418.6000061035156
1709852821.655146,5010,876.5999755859375
1709852823.7076645,5020,1101.4000244140625
1709852833.0004792,5075,632.5999755859375
1709852839.4364345,5110,1106.0
1709852842.8400507,5130,876.5999755859375
1709852845.3876863,5140,858.7999877929688
1709852852.9453998,5185,643.2000122070312
1709852869.465188,5280,419.20001220703125
1709852880.1152723,5350,881.7999877929688
1709852880.8522236,5355,648.2000122070312
1709852885.4922128,5385,1107.199951171875
1709852913.6658876,5490,1106.199951171875
1709852922.470148,5520,353.20001220703125
1709852931.0130908,5545,574.0
1709852936.4498794,5555,592.4000244140625
1709852954.3499358,5625,883.5999755859375
1709852960.8307185,5660,644.2000122070312
1709852971.579342,5730,875.5999755859375
1709852975.2532907,5755,642.7999877929688
1709852976.0412939,5760,1109.4000244140625
1709852985.6245182,5820,876.2000122070312
1709852993.5501337,5870,1103.199951171875
1709852994.9895356,5880,408.6000061035156
1709853002.6573286,5920,880.2000122070312
1709853010.14677,5965,412.79998779296875
1709853031.220426,6090,883.4000244140625
1709853036.7384524,6125,870.7999877929688
1709853052.289637,6230,1109.199951171875
1709853056.0154877,6255,649.0
1709853057.0563529,6260,1106.800048828125
1709853059.0007093,6270,1103.0
1709853061.264732,6285,869.2000122070312
1709853064.871393,6305,869.0
1709853069.7530997,6335,410.79998779296875
1709853073.4759579,6355,1115.800048828125
1709853078.1511095,6380,1101.0
1709853095.9651926,6490,877.0
1709853117.7407417,6625,653.5999755859375
1709853132.8239162,6725,1124.0
1709853144.8936152,6800,878.7999877929688
1709853147.7210677,6820,638.0
1709853155.970912,6875,874.7999877929688
1709853156.6311178,6880,649.2000122070312
1709853189.8333795,7085,867.5999755859375
1709853205.7005653,7190,880.0
1709853206.5086837,7195,1109.4000244140625
1709853219.982955,7285,884.5999755859375
1709853220.6537552,7290,887.0
1709853232.6591036,7370,876.5999755859375
1709853234.0698454,7380,641.0
1709853249.0562692,7470,1112.5999755859375
1709853256.5041778,7510,875.7999877929688
1709853263.1856797,7550,878.5999755859375
1709853265.4803164,7565,885.5999755859375
1709853291.2597003,7740,872.2000122070312
1709853293.1364117,7755,1107.199951171875
1709853304.2347476,7825,649.2000122070312
1709853306.6931303,7840,1108.199951171875
1709853311.0727227,7865,869.0
1709853323.4714103,7925,640.2000122070312
1709853341.0990853,7980,310.20001220703125
1709853362.1453762,8005,107.5999984741211
1709853442.1333184,8135,642.0
1709853452.1367738,8175,1138.800048828125
1709853482.7034519,8350,877.7999877929688
1709853491.1078067,8395,411.0
1709853504.0227582,8425,630.2000122070312
1709853545.4832008,8510,652.0
1709853546.821036,8520,422.79998779296875
1709853549.41214,8535,877.5999755859375
1709853552.5943704,8555,1112.4000244140625
1709853601.3735783,8875,886.4000244140625
1709853602.7253997,8885,1111.5999755859375
1709853611.0009477,8945,885.0
1709853612.9947793,8960,1112.0
1709853618.2429478,9000,1108.800048828125
1709853649.487599,9235,1116.199951171875
1709853652.150658,9255,1111.0
1709853657.8993058,9300,1111.4000244140625
1709853662.8139112,9335,1114.5999755859375
1709853677.206347,9440,1117.4000244140625
1709853684.4376972,9495,885.2000122070312
1709853686.5589175,9510,881.7999877929688
1709853690.8280275,9540,883.2000122070312
1709853691.5424652,9545,1119.199951171875
1709853702.6561697,9620,1123.4000244140625
1709853710.9958994,9680,883.0
1709853713.7901511,9700,653.4000244140625
1709853718.1061707,9725,1108.4000244140625
1709853719.6113818,9735,877.4000244140625
1709853730.3443606,9800,1112.800048828125
1709853731.219533,9805,1115.4000244140625
1709853734.8908095,9830,650.2000122070312
1709853745.5868473,9895,1119.5999755859375
1709853812.4508982,10350,883.7999877929688
1709853819.7658508,10395,1113.0
1709853828.039071,10445,1110.199951171875
1709853836.677388,10500,872.5999755859375
1709853845.8925586,10570,886.7999877929688
1709853846.556329,10575,1116.0
1709853849.4276462,10595,1108.5999755859375
1709853850.215772,10600,881.2000122070312
1709853863.3189075,10695,1114.0
1709853903.4385414,10970,1116.800048828125
1709853915.510962,11045,1122.800048828125
1709853920.7435577,11075,876.0
1709853938.4252012,11195,878.7999877929688
1709853942.0913188,11220,1121.4000244140625
1709853994.9866366,11580,879.7999877929688
1709853997.0102372,11595,1123.4000244140625
1709854013.2601993,11710,1117.199951171875
1709854025.5876546,11795,1114.800048828125
